,Year,Athlete,Sport,Event,Code
38,1908,"LIBERG, Einar",Shooting,"Free Rifle, Team",1
95,1912,"LIBERG, Einar",Shooting,"Free Rifle, Team",1
193,1920,"LIBERG, Einar",Shooting,"100M Running Deer, Double Shots",1
194,1920,"LIBERG, Einar",Shooting,"100M Running Deer, Double Shots, Team",1
195,1920,"LIBERG, Einar",Shooting,"100M Running Deer, Single Shots, Team",1
196,1920,"LILLOE-OLSEN, Ole Andreas",Shooting,"100M Running Deer, Double Shots",1
197,1920,"LILLOE-OLSEN, Ole Andreas",Shooting,"100M Running Deer, Double Shots, Team",1
198,1920,"LILLOE-OLSEN, Ole Andreas",Shooting,"100M Running Deer, Single Shots, Team",1
207,1920,"NATVIG, Harald",Shooting,"100M Running Deer, Double Shots, Team",1
208,1920,"NATVIG, Harald",Shooting,"100M Running Deer, Single Shots",1
209,1920,"NATVIG, Harald",Shooting,"100M Running Deer, Single Shots, Team",1
210,1920,"NATVIG, Harald",Shooting,"Free Rifle, Team",1
221,1920,"OLSEN, Otto M.",Shooting,"100M Running Deer, Single Shots",1
222,1920,"OLSEN, Otto M.",Shooting,"100M Running Deer, Single Shots, Team",1
223,1920,"OLSEN, Otto M.",Shooting,"300+600M Free Rifle, Team, Prone",1
224,1920,"OLSEN, Otto M.",Shooting,"Army Rifle, 300M, Prone",1
225,1920,"OLSEN, Otto M.",Shooting,"Free Rifle, Team",1
273,1924,"GROTTUMSBRAATEN, Johan",Skiing,18KM,1
274,1924,"GROTTUMSBRAATEN, Johan",Skiing,50KM,1
275,1924,"GROTTUMSBRAATEN, Johan",Skiing,Individual,1
281,1924,"LARSEN, Roald",Skating,10000M,1
282,1924,"LARSEN, Roald",Skating,1500M,1
283,1924,"LARSEN, Roald",Skating,5000M,1
284,1924,"LARSEN, Roald",Skating,500M,1
285,1924,"LARSEN, Roald",Skating,Combined (4 Events),1
286,1924,"LIBERG, Einar",Shooting,"100M Running Deer, Double Shots, Team",1
287,1924,"LIBERG, Einar",Shooting,"100M Running Deer, Single Shots, Team",1
288,1924,"LILLOE-OLSEN, Ole Andreas",Shooting,"100M Running Deer, Double Shots",1
289,1924,"LILLOE-OLSEN, Ole Andreas",Shooting,"100M Running Deer, Double Shots, Team",1
290,1924,"LILLOE-OLSEN, Ole Andreas",Shooting,"100M Running Deer, Single Shots, Team",1
294,1924,"NATVIG, Harald",Shooting,"100M Running Deer, Double Shots, Team",1
295,1924,"NATVIG, Harald",Shooting,"100M Running Deer, Single Shots, Team",1
300,1924,"OLSEN, Otto M.",Shooting,"100M Running Deer, Double Shots, Team",1
301,1924,"OLSEN, Otto M.",Shooting,"100M Running Deer, Single Shots",1
302,1924,"OLSEN, Otto M.",Shooting,"100M Running Deer, Single Shots, Team",1
316,1928,"BALLANGRUD, Ivar",Skating,1500M,1
317,1928,"BALLANGRUD, Ivar",Skating,5000M,1
323,1928,"GROTTUMSBRAATEN, Johan",Skiing,18KM,1
324,1928,"GROTTUMSBRAATEN, Johan",Skiing,Individual,1
328,1928,"LARSEN, Roald",Skating,500M,1
337,1932,"BALLANGRUD, Ivar",Skating,10000M,1
340,1932,"GROTTUMSBRAATEN, Johan",Skiing,Individual,1
348,1936,"BALLANGRUD, Ivar",Skating,10000M,1
349,1936,"BALLANGRUD, Ivar",Skating,1500M,1
350,1936,"BALLANGRUD, Ivar",Skating,5000M,1
351,1936,"BALLANGRUD, Ivar",Skating,500M,1
514,1968,"TYLDUM, Paal",Skiing,4X10KM Relay,1
539,1972,"TYLDUM, Paal",Skiing,30KM Mass Start,1
540,1972,"TYLDUM, Paal",Skiing,4X10KM Relay,1
541,1972,"TYLDUM, Paal",Skiing,50KM,1
557,1976,"TYLDUM, Paal",Skiing,4X10KM Relay,1
625,1988,"ULVANG, Vegard",Skiing,30KM Mass Start,1
627,1992,"AAMODT, Kjetil Andre",Skiing,Giant Slalom,1
628,1992,"AAMODT, Kjetil Andre",Skiing,Super-G,1
632,1992,"DAEHLIE, Björn",Skiing,30KM Mass Start,1
633,1992,"DAEHLIE, Björn",Skiing,4X10KM Relay,1
634,1992,"DAEHLIE, Björn",Skiing,50KM,1
635,1992,"DAEHLIE, Björn",Skiing,Combined 10KM + 15KM Pursuit,1
646,1992,"HOLMANN, Knut",Canoe / Kayak,K-1 1000M (Kayak Single),1
647,1992,"HOLMANN, Knut",Canoe / Kayak,K-1 500M (Kayak Single),1
673,1992,"ULVANG, Vegard",Skiing,10KM Pursuit,1
674,1992,"ULVANG, Vegard",Skiing,30KM Mass Start,1
675,1992,"ULVANG, Vegard",Skiing,4X10KM Relay,1
676,1992,"ULVANG, Vegard",Skiing,Combined 10KM + 15KM Pursuit,1
678,1994,"AAMODT, Kjetil Andre",Skiing,Alpine Combined,1
679,1994,"AAMODT, Kjetil Andre",Skiing,Downhill,1
680,1994,"AAMODT, Kjetil Andre",Skiing,Super-G,1
681,1994,"ALSGAARD, Thomas",Skiing,30KM Mass Start,1
682,1994,"ALSGAARD, Thomas",Skiing,4X10KM Relay,1
686,1994,"DAEHLIE, Björn",Skiing,10KM Pursuit,1
687,1994,"DAEHLIE, Björn",Skiing,30KM Mass Start,1
688,1994,"DAEHLIE, Björn",Skiing,4X10KM Relay,1
689,1994,"DAEHLIE, Björn",Skiing,Combined 10KM + 15KM Pursuit,1
692,1994,"KJUS, Lasse",Skiing,Alpine Combined,1
700,1994,"MOEN, Anita",Skiing,4X5KM Relay,1
709,1994,"ULVANG, Vegard",Skiing,4X10KM Relay,1
718,1996,"HOLMANN, Knut",Canoe / Kayak,K-1 1000M (Kayak Single),1
719,1996,"HOLMANN, Knut",Canoe / Kayak,K-1 500M (Kayak Single),1
737,1998,"ALSGAARD, Thomas",Skiing,4X10KM Relay,1
738,1998,"ALSGAARD, Thomas",Skiing,Combined 10KM + 15KM Pursuit,1
742,1998,"BJOERNDALEN, Ole Einar",Biathlon,10KM,1
743,1998,"BJOERNDALEN, Ole Einar",Biathlon,4X7.5KM Relay,1
746,1998,"DAEHLIE, Björn",Skiing,10KM Pursuit,1
747,1998,"DAEHLIE, Björn",Skiing,4X10KM Relay,1
748,1998,"DAEHLIE, Björn",Skiing,50KM,1
749,1998,"DAEHLIE, Björn",Skiing,Combined 10KM + 15KM Pursuit,1
755,1998,"HANEVOLD, Halvard",Biathlon,20KM,1
756,1998,"HANEVOLD, Halvard",Biathlon,4X7.5KM Relay,1
760,1998,"KJUS, Lasse",Skiing,Alpine Combined,1
761,1998,"KJUS, Lasse",Skiing,Downhill,1
764,1998,"MOEN, Anita",Skiing,15KM Mass Start,1
765,1998,"MOEN, Anita",Skiing,4X5KM Relay,1
772,1998,"SKARI, Bente",Skiing,4X5KM Relay,1
773,1998,"SKARI, Bente",Skiing,5KM,1
796,2000,"HOLMANN, Knut",Canoe / Kayak,K-1 1000M (Kayak Single),1
797,2000,"HOLMANN, Knut",Canoe / Kayak,K-1 500M (Kayak Single),1
825,2002,"AAMODT, Kjetil Andre",Skiing,Alpine Combined,1
826,2002,"AAMODT, Kjetil Andre",Skiing,Super-G,1
827,2002,"ALSGAARD, Thomas",Skiing,10KM Pursuit,1
828,2002,"ALSGAARD, Thomas",Skiing,4X10KM Relay,1
832,2002,"BJOERGEN, Marit",Skiing,4X5KM Relay,1
833,2002,"BJOERNDALEN, Ole Einar",Biathlon,10KM,1
834,2002,"BJOERNDALEN, Ole Einar",Biathlon,12.5Km Pursuit,1
835,2002,"BJOERNDALEN, Ole Einar",Biathlon,20KM,1
836,2002,"BJOERNDALEN, Ole Einar",Biathlon,4X7.5KM Relay,1
842,2002,"HANEVOLD, Halvard",Biathlon,4X7.5KM Relay,1
845,2002,"KJUS, Lasse",Skiing,Downhill,1
846,2002,"KJUS, Lasse",Skiing,Giant Slalom,1
847,2002,"MOEN, Anita",Skiing,4X5KM Relay,1
848,2002,"MOEN, Anita",Skiing,Sprint 1.5KM,1
855,2002,"SKARI, Bente",Skiing,10KM,1
856,2002,"SKARI, Bente",Skiing,30KM,1
857,2002,"SKARI, Bente",Skiing,4X5KM Relay,1
873,2006,"AAMODT, Kjetil Andre",Skiing,Super-G,1
875,2006,"BJOERNDALEN, Ole Einar",Biathlon,12.5Km Pursuit,1
876,2006,"BJOERNDALEN, Ole Einar",Biathlon,15KM Mass Start,1
877,2006,"BJOERNDALEN, Ole Einar",Biathlon,20KM,1
884,2006,"HANEVOLD, Halvard",Biathlon,10KM,1
